schoolid,teacherid,collegeid,guanxi
5001,524,4007,所属
5001,525,4007,所属
5001,526,4007,所属
5001,527,4007,所属
5001,528,4007,所属
5001,529,4007,所属
5001,530,4007,所属
5001,531,4007,所属
5001,532,4007,所属
5001,533,4007,所属
5001,534,4007,所属
5001,535,4007,所属
5001,536,4004,所属
5001,537,4004,所属
5001,538,4004,所属
5001,539,4004,所属
5001,540,4004,所属
5001,541,4004,所属
5001,542,4004,所属
5001,543,4004,所属
5001,544,4004,所属
5001,545,4004,所属
5001,546,4004,所属
5001,547,4004,所属
5001,548,4004,所属
5001,549,4004,所属
5001,550,4004,所属
5001,551,4004,所属
5001,552,4004,所属
5001,553,4006,所属
5001,554,4006,所属
5001,555,4006,所属
5001,556,4006,所属
5001,557,4006,所属
5001,558,4006,所属
5001,559,4006,所属
5001,560,4006,所属
5001,561,4006,所属
5001,562,4006,所属
5001,563,4003,所属
5001,564,4006,所属
5001,565,4006,所属
5001,566,4006,所属
5001,567,4006,所属
5001,568,4006,所属
5001,569,4006,所属
5001,570,4006,所属
5001,571,4006,所属
5001,572,4006,所属
5001,573,4006,所属
5001,574,4007,所属
5001,575,4007,所属
5001,576,4007,所属
5001,577,4007,所属
5001,578,4007,所属
5001,579,4007,所属
5001,580,4006,所属
5001,581,4007,所属
5001,582,4007,所属
5001,583,4007,所属
5001,584,4007,所属
5001,585,4007,所属
5001,586,4007,所属
5001,587,4007,所属
5001,588,4007,所属
5001,589,4007,所属
5001,590,4007,所属
5001,591,4007,所属
5001,592,4007,所属
5001,593,4007,所属
5001,594,4007,所属
5001,595,4007,所属
5001,596,4007,所属
5001,597,4007,所属
5001,598,4007,所属
5001,599,4007,所属
5001,600,4007,所属
5001,601,4007,所属
5001,602,4007,所属
5001,603,4007,所属
5001,604,4007,所属
5001,605,4007,所属
5001,606,4007,所属
5001,607,4007,所属
5001,608,4007,所属
5001,609,4007,所属
5001,610,4007,所属
5001,611,4007,所属
5001,612,4007,所属
5001,613,4007,所属
5001,614,4007,所属
5001,615,4007,所属
5001,616,4007,所属
5001,617,4007,所属
5001,618,4007,所属
5001,619,4007,所属
5001,620,4007,所属
5001,621,4007,所属
5001,622,4007,所属
5001,623,4007,所属
5001,624,4007,所属
5001,625,4007,所属
5001,626,4007,所属
5001,627,4007,所属
5001,628,4007,所属
5001,629,4004,所属
5001,630,4004,所属
5001,631,4004,所属
5001,632,4004,所属
5001,633,4004,所属
5001,634,4004,所属
5001,635,4004,所属
5001,636,4004,所属
5001,637,4004,所属
5001,638,4006,所属
5001,639,4004,所属
5001,640,4004,所属
5001,641,4004,所属
5001,642,4004,所属
5001,643,4004,所属
5001,644,4004,所属
5001,645,4004,所属
5001,646,4004,所属
5001,647,4004,所属
5001,648,4004,所属
5001,649,4004,所属
5001,650,4004,所属
5001,651,4004,所属
5001,652,4004,所属
